Dreams & Nightmares Case
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)
Sticker | apEX | Boston 2018
G3SG1 | Contractor (Factory New)
★ StatTrak™ Survival Knife | Scorched (Minimal Wear)
Sticker | Sphinx (Holo)
Sticker | apEX (Holo) | Stockholm 2021
Sticker | Virtus.Pro (Holo) | Atlanta 2017
Sticker | Ninjas in Pyjamas | London 2018
Sticker | koosta | Cologne 2016
★ Bayonet | Forest DDPAT (Factory New)
StatTrak™ XM1014 | Scumbria (Well-Worn)
AK-47 | Hydroponic (Battle-Scarred)
★ StatTrak™ Gut Knife | Crimson Web (Minimal Wear)
Sticker | Titan (Foil) | Cluj-Napoca 2015
Sticker | Splyce (Foil) | MLG Columbus 2016
Sticker | Team Liquid (Foil) | MLG Columbus 2016
Sticker | Swag (Foil)
★ Hand Wraps | Slaughter (Battle-Scarred)
StatTrak™ Sawed-Off | Black Sand (Factory New)
Sticker | Poorly Drawn Bloody Darryl (Holo)
Sticker | jdm64 | Boston 2018
Sticker | Jerry (Gold) | Antwerp 2022
Sticker | flamie | Atlanta 2017
Sticker | nexa (Gold) | Stockholm 2021
Sticker | olofmeister (Foil) | Krakow 2017
Sticker | WorldEdit (Foil) | Cologne 2015
Sticker | Snax (Foil) | Cologne 2016
Sticker | James (Foil) | Cologne 2015
Sticker | G2 Esports (Foil) | Boston 2018
Souvenir P250 | Digital Architect (Factory New)
★ StatTrak™ Talon Knife | Urban Masked (Minimal Wear)
Sealed Graffiti | Hop (Desert Amber)
M249 | Contrast Spray (Minimal Wear)
StatTrak™ Dual Berettas | Marina (Factory New)
StatTrak™ AWP | Wildfire (Battle-Scarred)
★ StatTrak™ Falchion Knife | Marble Fade (Factory New)
Sticker | NiKo (Gold) | Antwerp 2022
AUG | Aristocrat (Well-Worn)
AK-47 | Panthera onca (Battle-Scarred)
Sealed Graffiti | Recoil MAC-10 (Monarch Blue)
Autograph Capsule | Natus Vincere | Atlanta 2017
P90 | Emerald Dragon (Minimal Wear)
Sticker | Summer | Katowice 2019
Sticker | dennis | Katowice 2019
Sticker | Summer (Foil) | Katowice 2019
Sticker | JW (Foil) | Katowice 2019
Sticker | hutji | Katowice 2019
Sticker | twist | Katowice 2019
Sticker | BnTeT | Katowice 2019
Sticker | crush | Katowice 2019
Sticker | jR | Katowice 2019
Sticker | dennis (Gold) | Katowice 2019
Sticker | kioShiMa | Katowice 2019
Sticker | JW | Katowice 2019
Sticker | xccurate (Foil) | Katowice 2019
Sticker | JaCkz | Katowice 2019
Sticker | GeT_RiGhT (Foil) | Katowice 2019
Souvenir Desert Eagle | Mudder (Minimal Wear)
★ StatTrak™ Paracord Knife | Slaughter (Field-Tested)
Sticker | flamie | MLG Columbus 2016
Sticker | LEGIJA | Boston 2018
Sticker | gob b | Boston 2018
Sticker | felps | Boston 2018
Sticker | Golden | Boston 2018
Sticker | Hobbit | Boston 2018
Sticker | v4lde | Boston 2018
Sticker | STYKO | Boston 2018
StatTrak™ AK-47 | Blue Laminate (Well-Worn)
Sticker | Yellow Jaggyfish
StatTrak™ M4A4 | 龍王 (Dragon King) (Well-Worn)
Souvenir M4A1-S | Knight (Minimal Wear)
Sticker | Gambit (Holo) | Krakow 2017
★ Hand Wraps | Desert Shamagh (Well-Worn)
Sticker | DickStacy | Katowice 2019
Sticker | gade (Gold) | London 2018
★ Gut Knife | Blue Steel (Battle-Scarred)
★ StatTrak™ Karambit | Autotronic (Field-Tested)
Sealed Graffiti | Shining Star (Violent Violet)
★ Flip Knife | Marble Fade (Minimal Wear)
Sticker | ALEX | Katowice 2019
Sticker | Kvik | Katowice 2019
Sticker | S0tF1k | Katowice 2019
Sticker | yuurih (Foil) | Berlin 2019
Sticker | aizy | London 2018
Sticker | BnTeT | London 2018
StatTrak™ AK-47 | Vulcan (Well-Worn)
★ Navaja Knife | Blue Steel (Factory New)
StatTrak™ CZ75-Auto | Crimson Web (Factory New)
M4A4 | Radiation Hazard (Well-Worn)
MAG-7 | Counter Terrace (Field-Tested)
StatTrak™ Negev | Terrain (Well-Worn)
Souvenir MP5-SD | Dirt Drop (Factory New)
M249 | Aztec (Well-Worn)
★ Paracord Knife | Stained (Factory New)
★ Navaja Knife | Urban Masked (Well-Worn)
Five-SeveN | Berries And Cherries (Minimal Wear)
Sticker | Freeze (Lenticular)
★ StatTrak™ Survival Knife | Crimson Web (Minimal Wear)
UMP-45 | Caramel (Battle-Scarred)
★ StatTrak™ Stiletto Knife | Scorched (Minimal Wear)
Souvenir FAMAS | Styx (Minimal Wear)
Sticker | qikert | Boston 2018
StatTrak™ M4A1-S | Guardian (Battle-Scarred)
SCAR-20 | Splash Jam (Minimal Wear)
M4A1-S | Atomic Alloy (Battle-Scarred)
XM1014 | Fallout Warning (Minimal Wear)
★ StatTrak™ Ursus Knife | Slaughter (Factory New)
SCAR-20 | Magna Carta (Well-Worn)
★ StatTrak™ Talon Knife | Crimson Web (Minimal Wear)
★ StatTrak™ Shadow Daggers | Forest DDPAT (Minimal Wear)
Sticker | Xyp9x | Katowice 2019
Sticker | Hobbit | Katowice 2019
Sticker | AZR | Katowice 2019
Sticker | ableJ | Katowice 2019
Sticker | Rickeh | Cologne 2015
★ StatTrak™ Talon Knife | Forest DDPAT (Field-Tested)
★ StatTrak™ Ursus Knife | Night Stripe (Minimal Wear)
Five-SeveN | Contractor (Well-Worn)
Sticker | juanflatroo (Holo) | Rio 2022
Sticker | Sico (Holo) | Rio 2022
Sticker | t0rick (Foil) | Berlin 2019
Sticker | es3tag (Holo) | Antwerp 2022
Sticker | Brollan (Holo) | Rio 2022
Sticker | svyat (Foil) | Berlin 2019
Sticker | nexa (Foil) | Berlin 2019
Sticker | Forester (Foil) | Berlin 2019
Sticker | xsepower (Foil) | Berlin 2019
Sealed Graffiti | Thoughtfull (Tracer Yellow)
Sealed Graffiti | Silver Bullet (Monarch Blue)
★ StatTrak™ Stiletto Knife | Forest DDPAT (Field-Tested)
★ StatTrak™ Skeleton Knife | Scorched (Minimal Wear)
Patch | FaZe Clan (Gold) | Stockholm 2021
★ StatTrak™ Talon Knife | Stained (Well-Worn)
Sticker | VINI (Foil) | Katowice 2019
StatTrak™ CZ75-Auto | The Fuschia Is Now (Field-Tested)
StatTrak™ AWP | Electric Hive (Well-Worn)
MAC-10 | Last Dive (Well-Worn)
★ Falchion Knife | Ultraviolet (Well-Worn)
Souvenir MP7 | Fade (Field-Tested)
Glock-18 | Sand Dune (Minimal Wear)
CZ75-Auto | Chalice (Minimal Wear)
★ Ursus Knife | Boreal Forest (Factory New)
★ StatTrak™ Navaja Knife | Boreal Forest (Minimal Wear)
Sticker | Flame Buttery (Holo)
★ StatTrak™ Shadow Daggers | Gamma Doppler (Minimal Wear)
StatTrak™ Dual Berettas | Balance (Well-Worn)
CZ75-Auto | Midnight Palm (Battle-Scarred)
CZ75-Auto | Midnight Palm (Well-Worn)
Sticker | G2 Esports (Foil) | Cluj-Napoca 2015
★ StatTrak™ Ursus Knife | Case Hardened (Well-Worn)
★ Shadow Daggers | Stained (Battle-Scarred)
Sticker | shox (Gold) | Stockholm 2021
Sticker | Hiko (Foil) | London 2018
Sticker | JT (Gold) | Antwerp 2022
Sticker | EliGE (Foil) | Berlin 2019
Sealed Graffiti | Goofy (Violent Violet)
Sticker | Rising Skull
Sticker | B1ad3 | Boston 2018
Sticker | VINI (Gold) | Berlin 2019
★ StatTrak™ M9 Bayonet | Case Hardened (Field-Tested)
StatTrak™ FAMAS | Mecha Industries (Well-Worn)
Sticker | arT (Gold) | Stockholm 2021
★ StatTrak™ Karambit | Crimson Web (Minimal Wear)
★ Huntsman Knife | Case Hardened (Battle-Scarred)
Sticker | Team Immunity (Foil) | Cologne 2015
Sticker | torzsi (Gold) | Rio 2022
★ StatTrak™ M9 Bayonet | Blue Steel (Battle-Scarred)
StatTrak™ M4A4 | Zirka (Factory New)
StatTrak™ MAC-10 | Oceanic (Well-Worn)
StatTrak™ M4A1-S | Guardian (Well-Worn)
★ StatTrak™ Butterfly Knife | Slaughter (Factory New)
Sticker | RUSH | London 2018
Sawed-Off | Sage Spray (Minimal Wear)
Sticker | Space Soldiers | Boston 2018
Sticker | SK Gaming | Atlanta 2017
★ Huntsman Knife | Damascus Steel (Well-Worn)
Souvenir MP9 | Setting Sun (Factory New)
Sticker | JW | MLG Columbus 2016
★ StatTrak™ Skeleton Knife | Blue Steel (Minimal Wear)
Sticker | xseveN | Katowice 2019
★ StatTrak™ Bayonet | Black Laminate (Field-Tested)
StatTrak™ XM1014 | Ziggy (Battle-Scarred)
Sticker | forZe eSports (Holo) | Berlin 2019
Souvenir M4A1-S | VariCamo (Factory New)
Sticker | erkaSt | Katowice 2019
USP-S | Pathfinder (Minimal Wear)
★ StatTrak™ Bayonet | Fade (Factory New)
Sealed Graffiti | Goofy (Bazooka Pink)
Sealed Graffiti | Hop (War Pig Pink)
Sticker | waterfaLLZ (Foil) | London 2018
Sticker | Ex6TenZ (Foil) | London 2018
UMP-45 | Minotaur's Labyrinth (Minimal Wear)
StatTrak™ M4A4 | Cyber Security (Well-Worn)
ESL One Cologne 2015 Challengers (Foil)
P90 | Baroque Red (Minimal Wear)
Sealed Graffiti | Recoil AUG (Desert Amber)
Sticker | G2 Esports | Krakow 2017
StatTrak™ P2000 | Red FragCam (Minimal Wear)
Souvenir P90 | Sand Spray (Battle-Scarred)
★ StatTrak™ Bowie Knife | Scorched (Battle-Scarred)
Souvenir Galil AR | Hunting Blind (Well-Worn)
Sticker | freakazoid (Foil) | Cluj-Napoca 2015
Sticker | kRYSTAL | Krakow 2017
Souvenir XM1014 | Blue Spruce (Battle-Scarred)
★ StatTrak™ Nomad Knife | Slaughter (Field-Tested)
Sticker | sh1ro (Holo) | Rio 2022
Sticker | gla1ve (Gold) | London 2018
Sticker | Lekr0 (Gold) | London 2018
Sticker | NAF (Gold) | London 2018
Sticker | MSL (Gold) | Krakow 2017
Sticker | HellRaisers (Holo) | Katowice 2015
Sticker | Counter Logic Gaming (Holo) | Katowice 2015
Sticker | Calyx (Gold) | Antwerp 2022
PP-Bizon | Death Rattle (Battle-Scarred)
Sticker | Twistzz (Foil) | London 2018
Sticker | DickStacy (Foil) | Berlin 2019
Sticker | Lekr0 (Foil) | Boston 2018
Sticker | kennyS (Foil) | London 2018
Sticker | sdy (Foil) | London 2018
Sticker | ropz (Foil) | Boston 2018
Sealed Graffiti | Puke (Tiger Orange)
Sticker | AdreN (Foil) | London 2018
Sticker | DD (Foil) | London 2018
Sticker | Dosia (Foil) | Krakow 2017
Sticker | NAF (Foil) | London 2018
Sticker | rain (Foil) | London 2018
Sticker | nex (Foil) | London 2018
Sticker | Xyp9x (Foil) | London 2018
Sticker | markeloff (Foil) | Boston 2018
Sticker | coldzera (Foil) | Boston 2018
Sticker | Dosia (Foil) | London 2018
Sticker | TACO (Foil) | London 2018
Sticker | Magisk (Foil) | London 2018
Sticker | Stewie2K (Foil) | London 2018
Sticker | waterfaLLZ (Foil) | Boston 2018
Sticker | WorldEdit (Foil) | Boston 2018
Sticker | gla1ve (Foil) | London 2018
Sticker | xccurate (Foil) | London 2018
Sticker | KrizzeN (Foil) | Boston 2018
Sticker | coldzera (Foil) | London 2018
Sticker | Golden (Foil) | Boston 2018
Sticker | abE (Foil) | MLG Columbus 2016
Sticker | yay (Foil) | London 2018
SCAR-20 | Storm (Factory New)
★ StatTrak™ Gut Knife | Gamma Doppler (Factory New)
Sticker | ngiN (Foil) | London 2018
Sticker | Hobbit (Foil) | London 2018
Sticker | stanislaw (Foil) | London 2018
Sticker | balblna (Foil) | London 2018
Sticker | ShahZaM (Foil) | London 2018
Sticker | ANDROID (Foil) | London 2018
Sticker | Lekr0 (Foil) | London 2018
Sticker | flusha (Foil) | London 2018
Sticker | KRIMZ (Foil) | London 2018
Sticker | neaLaN (Gold) | Rio 2022
Sticker | seized | Boston 2018
Sticker | Xyp9x | Boston 2018
Sticker | Skadoodle | London 2018
Sticker | byali | Boston 2018
Sticker | KRIMZ | Boston 2018
Sticker | TACO | Boston 2018
★ StatTrak™ M9 Bayonet | Slaughter (Minimal Wear)
★ StatTrak™ M9 Bayonet | Fade (Factory New)
Sticker | SIXER (Foil) | Boston 2018
Sticker | Nifty (Foil) | Boston 2018
PP-Bizon | Rust Coat (Battle-Scarred)
Sealed Graffiti | BOOM (Tracer Yellow)
Sticker | tabseN (Holo) | Antwerp 2022
P250 | Inferno (Well-Worn)
Sticker | Nemiga (Gold) | 2020 RMR
Tec-9 | Terrace (Battle-Scarred)
MAC-10 | Case Hardened (Battle-Scarred)
StatTrak™ USP-S | Caiman (Minimal Wear)
Sealed Graffiti | Denied (Desert Amber)
M4A1-S | Hot Rod (Minimal Wear)
StatTrak™ FAMAS | Sergeant (Minimal Wear)
★ StatTrak™ Stiletto Knife | Slaughter (Field-Tested)
Sticker | Ninjas in Pyjamas | DreamHack 2014
Sticker | device (Foil) | Boston 2018
StatTrak™ G3SG1 | Black Sand (Factory New)
StatTrak™ P250 | Red Rock (Factory New)
Sticker | jkaem | Katowice 2019
★ Specialist Gloves | Mogul (Factory New)
Sticker | nitr0 (Holo) | Antwerp 2022
Sticker | Vega Squadron | Krakow 2017
Sticker | gla1ve | Katowice 2019
Sticker | fitch | Katowice 2019
Sticker | woxic | Katowice 2019
Sticker | GuardiaN | Katowice 2019
Sticker | KRIMZ | Katowice 2019
Sticker | dupreeh | Katowice 2019
Sticker | aumaN | Katowice 2019
G3SG1 | Arctic Camo (Battle-Scarred)
Sticker | olofmeister | Katowice 2019
StatTrak™ P250 | Muertos (Battle-Scarred)
★ StatTrak™ Nomad Knife | Crimson Web (Field-Tested)
Sticker | Virtus.Pro (Foil) | DreamHack 2014
StatTrak™ XM1014 | Heaven Guard (Factory New)
★ StatTrak™ Stiletto Knife | Forest DDPAT (Well-Worn)
Sticker | ropz (Holo) | Rio 2022
StatTrak™ G3SG1 | Black Sand (Field-Tested)
Souvenir UMP-45 | Urban DDPAT (Minimal Wear)
Souvenir Tec-9 | Groundwater (Field-Tested)
Sticker | dgt (Holo) | Rio 2022
★ StatTrak™ Gut Knife | Scorched (Minimal Wear)
★ StatTrak™ Ursus Knife | Rust Coat (Well-Worn)
SG 553 | Tornado (Battle-Scarred)
P250 | Nuclear Threat (Battle-Scarred)
Sticker | nitr0 (Gold) | Katowice 2019
★ Skeleton Knife | Scorched (Factory New)
Sticker | Lucky 13 (Foil)
StatTrak™ Tec-9 | Cut Out (Field-Tested)
Sticker | arT | Katowice 2019
Sticker | Awp Country
Sticker | Fnatic | Cluj-Napoca 2015
Souvenir AUG | Sand Storm (Well-Worn)
Sticker | Lekr0 | Boston 2018
Patch | Tyloo | Stockholm 2021
Sticker | Perfecto (Holo) | Rio 2022
Sticker | LEGIJA | Krakow 2017
★ StatTrak™ Huntsman Knife | Black Laminate (Well-Worn)
P90 | Sunset Lily (Minimal Wear)
★ StatTrak™ Navaja Knife | Ultraviolet (Field-Tested)
CZ75-Auto | Emerald Quartz (Well-Worn)
★ StatTrak™ Karambit | Black Laminate (Field-Tested)
Sticker | s1mple (Foil) | Boston 2018
Sticker | AdreN (Foil) | Katowice 2019
Galil AR | Winter Forest (Well-Worn)
Dual Berettas | Oil Change (Minimal Wear)
★ Huntsman Knife | Freehand (Battle-Scarred)
★ Bowie Knife | Marble Fade (Minimal Wear)
Souvenir Five-SeveN | Coolant (Battle-Scarred)
★ Falchion Knife | Black Laminate (Factory New)
★ Bloodhound Gloves | Bronzed (Minimal Wear)
★ StatTrak™ Stiletto Knife | Ultraviolet (Battle-Scarred)
★ Survival Knife | Crimson Web (Battle-Scarred)
Nova | Rising Skull (Well-Worn)
P250 | Digital Architect (Minimal Wear)
StatTrak™ P250 | Splash (Field-Tested)
StatTrak™ AUG | Aristocrat (Well-Worn)
★ StatTrak™ Stiletto Knife | Urban Masked (Minimal Wear)
★ Classic Knife | Safari Mesh (Minimal Wear)
★ StatTrak™ Navaja Knife | Scorched (Minimal Wear)
★ Flip Knife | Crimson Web (Minimal Wear)
Sticker | hutji (Foil) | London 2018
Sticker | Poorly Drawn Balkan
Sticker | Poorly Drawn SAS (Holo)
AUG | Flame Jörmungandr (Factory New)
Sticker | Windy Walking Club
StatTrak™ Nova | Plume (Well-Worn)
★ StatTrak™ Karambit | Black Laminate (Minimal Wear)
★ StatTrak™ Butterfly Knife | Case Hardened (Factory New)
StatTrak™ Five-SeveN | Retrobution (Well-Worn)
P90 | Run and Hide (Minimal Wear)
StatTrak™ Five-SeveN | Fairy Tale (Well-Worn)
StatTrak™ Galil AR | Sugar Rush (Factory New)
StatTrak™ P90 | Emerald Dragon (Minimal Wear)
StatTrak™ CZ75-Auto | The Fuschia Is Now (Factory New)
MP9 | Dark Age (Minimal Wear)
Sticker | seized (Foil) | Boston 2018
Souvenir AK-47 | Black Laminate (Minimal Wear)
★ StatTrak™ Butterfly Knife | Safari Mesh (Minimal Wear)
Sticker | stanislaw (Foil) | Berlin 2019
★ StatTrak™ Paracord Knife | Crimson Web (Field-Tested)
Sticker | Counter Logic Gaming | Cologne 2015
Souvenir Galil AR | CAUTION! (Battle-Scarred)
AUG | Flame Jörmungandr (Field-Tested)
Sticker | Liazz (Holo) | Rio 2022
StatTrak™ Desert Eagle | Ocean Drive (Factory New)
Souvenir MAC-10 | Palm (Well-Worn)
StatTrak™ P2000 | Fire Elemental (Well-Worn)
MAC-10 | Copper Borre (Minimal Wear)
MAC-10 | Ultraviolet (Battle-Scarred)
Sealed Graffiti | Broken Heart (Wire Blue)
Sticker | FalleN (Glitter) | Rio 2022
Souvenir P90 | Facility Negative (Field-Tested)
Sticker | Fnatic (Holo) | Krakow 2017
Sticker | B1ad3 | Atlanta 2017
Sticker | Sticker Bomb Surf Ava (Foil)
Patch | Entropiq | Stockholm 2021
Tec-9 | Bamboozle (Well-Worn)
Sticker | device | Krakow 2017
★ StatTrak™ Gut Knife | Marble Fade (Factory New)
Sticker | sinnopsyy (Gold) | Antwerp 2022
ESL One Katowice 2015 Challengers (Holo-Foil)
Sticker | oSee (Gold) | Antwerp 2022
Sticker | nicoodoz (Holo) | Antwerp 2022
Sticker | Attacker (Foil) | Boston 2018
Sticker | autimatic (Foil) | Boston 2018
Sticker | kennyS (Gold) | Berlin 2019
Sticker | LUCAS1 (Foil) | Krakow 2017
Sticker | qikert (Gold, Champion) | Rio 2022
Sticker | frozen (Holo) | Rio 2022
Sticker | shox (Holo) | Antwerp 2022
Sticker | FaZe Clan (Gold) | Stockholm 2021
Sticker | Farlig (Gold) | Antwerp 2022
Sticker | FaNg (Holo) | Antwerp 2022
M249 | Shipping Forecast (Minimal Wear)
★ StatTrak™ Karambit | Safari Mesh (Minimal Wear)
AK-47 | Jet Set (Well-Worn)
StatTrak™ M4A4 | In Living Color (Well-Worn)
Sticker | Team EnVyUs (Holo) | Atlanta 2017
Souvenir P90 | Glacier Mesh (Minimal Wear)
StatTrak™ MP7 | Guerrilla (Factory New)
Sticker | Attacker (Gold) | Berlin 2019
Sticker | Zeus | London 2018
Souvenir Tec-9 | Remote Control (Field-Tested)
Sticker | electronic | Atlanta 2017
★ StatTrak™ Butterfly Knife | Blue Steel (Battle-Scarred)
Souvenir P90 | Facility Negative (Battle-Scarred)
Sticker | VINI (Gold) | Rio 2022
Sticker | es3tag (Gold) | Rio 2022
Souvenir Tec-9 | Toxic (Minimal Wear)
Souvenir UMP-45 | Scorched (Factory New)
MAC-10 | Lapis Gator (Well-Worn)
Sticker | sinnopsyy (Gold) | Paris 2023
Tec-9 | Terrace (Field-Tested)
StatTrak™ SSG 08 | Blood in the Water (Factory New)
Sticker | Attacker (Foil) | Berlin 2019
★ StatTrak™ Karambit | Night (Well-Worn)
Sticker | Cloud9 G2A | Cologne 2015
SCAR-20 | Storm (Well-Worn)
P90 | Storm (Well-Worn)
Sticker | mousesports (Foil) | MLG Columbus 2016
Sticker | r3salt (Gold) | Paris 2023
★ Gut Knife | Night (Battle-Scarred)
Sealed Graffiti | OMG (Blood Red)
★ StatTrak™ Nomad Knife | Forest DDPAT (Battle-Scarred)
★ Shadow Daggers | Bright Water (Battle-Scarred)
Sticker | Splyce (Holo) | MLG Columbus 2016
StatTrak™ PP-Bizon | Cobalt Halftone (Well-Worn)
★ Bayonet | Slaughter (Field-Tested)
StatTrak™ G3SG1 | Flux (Factory New)
Sticker | peet (Foil) | Cologne 2015
Sticker | apEX | Cologne 2015
★ Gut Knife | Crimson Web (Minimal Wear)
Sticker | Outsiders (Gold) | Antwerp 2022
Sticker | Flipsid3 Tactics (Holo) | MLG Columbus 2016
MP7 | Olive Plaid (Well-Worn)
Autograph Capsule | Fnatic | Atlanta 2017
★ Bowie Knife | Night (Well-Worn)
Sticker | ESL One | Katowice 2015
★ StatTrak™ Flip Knife | Autotronic (Minimal Wear)
Sticker | floppy (Gold) | Antwerp 2022
MAG-7 | Irradiated Alert (Factory New)
Sticker | FURIA | Katowice 2019
StatTrak™ AK-47 | Cartel (Well-Worn)
Souvenir P250 | Apep's Curse (Field-Tested)
Negev | CaliCamo (Factory New)
MAC-10 | Ultraviolet (Factory New)
Sealed Graffiti | Smarmy (Monster Purple)
Sticker | blameF (Holo) | Antwerp 2022
Sticker | juanflatroo (Holo) | Antwerp 2022
★ StatTrak™ Bowie Knife | Marble Fade (Factory New)
AK-47 | Jet Set (Factory New)
Sticker | huNter (Gold) | Antwerp 2022
Sticker | compLexity Gaming (Holo) | London 2018
Patch | Natus Vincere (Gold) | Stockholm 2021
Sticker | CeRq (Gold) | Katowice 2019
Sticker | Skadoodle (Foil) | London 2018
Sticker | Rickeh (Foil) | London 2018
Sticker | s1mple | Krakow 2017
Sticker | f0rest (Foil) | MLG Columbus 2016
Sticker | Space Soldiers (Foil) | Boston 2018
Sticker | Natus Vincere | DreamHack 2014
Sticker | London Conspiracy | Cologne 2014
Sticker | Flipsid3 Tactics | DreamHack 2014
Boston 2018 Inferno Souvenir Package
Sealed Graffiti | FaZe Clan | Krakow 2017
★ StatTrak™ Bowie Knife | Crimson Web (Battle-Scarred)
Souvenir Galil AR | Sage Spray (Minimal Wear)
Souvenir Tec-9 | Army Mesh (Minimal Wear)
★ Huntsman Knife | Slaughter (Factory New)
★ StatTrak™ M9 Bayonet | Marble Fade (Minimal Wear)
AK-47 | Wild Lotus (Minimal Wear)
StatTrak™ Five-SeveN | Nightshade (Well-Worn)
Sticker | dumau (Holo) | Rio 2022
Sticker | Space Soldiers | London 2018
Sealed Graffiti | Astralis | Atlanta 2017
★ StatTrak™ M9 Bayonet | Boreal Forest (Field-Tested)
★ Navaja Knife | Forest DDPAT (Battle-Scarred)
★ Shadow Daggers | Urban Masked (Battle-Scarred)
ESL One Cologne 2014 Challengers
Sticker | Liazz (Gold) | Rio 2022
StatTrak™ P90 | Death Grip (Factory New)
Sealed Graffiti | Fart (Desert Amber)
Dual Berettas | Panther (Battle-Scarred)
M4A1-S | Blue Phosphor (Minimal Wear)
Sticker | coldzera | London 2018
★ Bowie Knife | Black Laminate (Battle-Scarred)
Sticker | n0thing (Foil) | Krakow 2017
Sticker | Stewie2K (Foil) | Krakow 2017
Sticker | gob b (Foil) | Krakow 2017
★ Huntsman Knife | Crimson Web (Minimal Wear)
XM1014 | Red Python (Well-Worn)
Negev | Desert-Strike (Battle-Scarred)
CZ75-Auto | Poison Dart (Field-Tested)
★ Gut Knife | Autotronic (Factory New)
R8 Revolver | Night (Factory New)
Sticker | suNny (Foil) | Krakow 2017
StatTrak™ SCAR-20 | Cyrex (Field-Tested)
Sticker | Team Dignitas (Holo) | Cologne 2014
Galil AR | Dusk Ruins (Battle-Scarred)
Sticker | Krimbo (Holo) | Antwerp 2022
★ Hand Wraps | Desert Shamagh (Factory New)
Nova | Plume (Well-Worn)
AUG | Copperhead (Minimal Wear)
★ Ursus Knife | Rust Coat (Well-Worn)
★ StatTrak™ Flip Knife | Doppler (Minimal Wear)
Souvenir Negev | CaliCamo (Field-Tested)
Antwerp 2022 Inferno Souvenir Package
P2000 | Pulse (Well-Worn)
Sticker | ISSAA (Foil) | London 2018
Sticker | Team Liquid (Holo) | Atlanta 2017
Sticker | MIBR (Foil) | Berlin 2019
Souvenir M249 | Contrast Spray (Factory New)
Souvenir Five-SeveN | Forest Night (Well-Worn)
MP7 | Full Stop (Minimal Wear)
Sticker | Pink Jaggyfish
Sticker | Gambit Esports | Boston 2018
UMP-45 | Moonrise (Well-Worn)
Souvenir MAC-10 | Palm (Battle-Scarred)
Souvenir MP7 | Orange Peel (Well-Worn)
Sticker | markeloff | Atlanta 2017
★ StatTrak™ Classic Knife | Urban Masked (Minimal Wear)
M4A4 | Radiation Hazard (Factory New)
R8 Revolver | Phoenix Marker (Battle-Scarred)
Sticker | malta (Foil) | Katowice 2019
Sticker | coldzera (Foil) | Katowice 2019
Souvenir MP9 | Slide (Factory New)
★ Sport Gloves | Amphibious (Factory New)
Sticker | nitr0 (Holo) | Rio 2022
Sticker | buster | Katowice 2019
Sticker | mixwell (Foil) | Cologne 2016
Souvenir P90 | ScaraB Rush (Minimal Wear)
★ Karambit | Blue Steel (Factory New)
★ Huntsman Knife | Blue Steel (Field-Tested)
Souvenir SSG 08 | Tropical Storm (Well-Worn)
StatTrak™ Five-SeveN | Buddy (Battle-Scarred)
Sticker | S1ren (Holo) | Antwerp 2022
Souvenir SG 553 | Integrale (Minimal Wear)
Sticker | Boombl4 (Gold) | Stockholm 2021
Sticker | Dead Eye (Holo)
Boston 2018 Minor Challengers with Flash Gaming (Holo-Foil)
Sticker | Team Liquid (Gold) | Rio 2022
Sticker | sjuush (Holo) | Antwerp 2022
★ Huntsman Knife | Doppler (Minimal Wear)
Sealed Graffiti | Choke (Violent Violet)
Sealed Graffiti | Dead Now (War Pig Pink)
Sealed Graffiti | Smooch (Tiger Orange)
★ StatTrak™ Falchion Knife | Safari Mesh (Battle-Scarred)
Souvenir P250 | Apep's Curse (Minimal Wear)
Sealed Graffiti | Dead Now (Blood Red)
Souvenir G3SG1 | Polar Camo (Battle-Scarred)
Sticker | Syman Gaming (Foil) | Berlin 2019
Sealed Graffiti | Misfits Gaming | Boston 2018
Souvenir MAG-7 | Core Breach (Field-Tested)
Sticker | MLG (Foil) | MLG Columbus 2016
Souvenir SG 553 | Damascus Steel (Well-Worn)
Souvenir P250 | Sand Dune (Well-Worn)
Sealed Graffiti | Broken Heart (Dust Brown)
★ StatTrak™ Bayonet | Blue Steel (Battle-Scarred)
MP5-SD | Acid Wash (Well-Worn)
Souvenir MP9 | Setting Sun (Well-Worn)
Sticker | Attacker (Foil) | Katowice 2019
Souvenir AK-47 | Panthera onca (Minimal Wear)
StatTrak™ CZ75-Auto | Vendetta (Minimal Wear)
Sticker | dennis | Cologne 2015
M4A4 | Global Offensive (Well-Worn)
Souvenir P250 | Exchanger (Minimal Wear)
Patch | Sustenance!
Sticker | Ninjas in Pyjamas (Foil) | Berlin 2019
Sticker | arT (Foil) | Katowice 2019
Sticker | DD | London 2018
Sticker | rain (Gold) | Rio 2022
Sticker | Keyd Stars (Foil) | Katowice 2015
Sticker | ESL One (Foil) | Katowice 2015
Sticker | Cloud9 (Foil) | Cluj-Napoca 2015
Sticker | Team Dignitas | Cologne 2016
Sticker | coldzera (Foil) | MLG Columbus 2016
G3SG1 | Safari Mesh (Battle-Scarred)
★ Gut Knife | Marble Fade (Minimal Wear)
★ StatTrak™ Flip Knife | Freehand (Minimal Wear)
Souvenir P250 | Contamination (Factory New)
★ StatTrak™ Falchion Knife | Scorched (Well-Worn)
Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015
Desert Eagle | Blaze (Minimal Wear)
Sticker | latto (Gold) | Rio 2022
Souvenir P250 | Gunsmoke (Well-Worn)
